split,model,ndcg@10,map,error
Fold1,baseline,0.20590516702475548,0.4695375487552222,
Fold1,pointwise_linear,0.19144727080072949,0.4648075254096299,
Fold1,lambdamart,0.47018871846367744,0.6138792411881798,
Fold2,baseline,0.2070512112074822,0.4667076599243772,
Fold2,pointwise_linear,0.19223205995042916,0.46653179944979967,
Fold2,lambdamart,0.4707772743015225,0.6107574380567965,
Fold3,baseline,0.2057984387058011,0.4633165204393963,
Fold3,pointwise_linear,0.1946958019417862,0.4595540237144469,
Fold3,lambdamart,0.46819092605263657,0.6101776451403227,
Fold4,baseline,0.21380391865244813,0.46972865089805177,
Fold4,pointwise_linear,0.21281765623988172,0.4744330621205821,
Fold4,lambdamart,0.47868245048250013,0.6162790438982032,
Fold5,baseline,0.2108286036334423,0.47374154372868466,
Fold5,pointwise_linear,0.214250244132055,0.4782713470393152,
Fold5,lambdamart,0.4788021528246892,0.6183796263997672,
